(Q-Qo)/mA.h	I/mA	time/s	Ecell/V	
0.000000000000000E+000	0.0000000E+000	0.000000000000000E+000	2.8865807E+000
0.000000000000000E+000	0.0000000E+000	1.000000047497451E+000	2.8865807E+000
0.000000000000000E+000	0.0000000E+000	2.000000094994903E+000	2.8865807E+000
0.000000000000000E+000	0.0000000E+000	3.000000142492354E+000	2.8865020E+000
0.000000000000000E+000	0.0000000E+000	4.000000189989805E+000	2.8865807E+000
0.000000000000000E+000	0.0000000E+000	5.000000237487257E+000	2.8865020E+000
0.000000000000000E+000	0.0000000E+000	6.000000284984708E+000	2.8864233E+000
0.000000000000000E+000	0.0000000E+000	7.000000332482159E+000	2.8865020E+000
0.000000000000000E+000	0.0000000E+000	8.000000379979610E+000	2.8865414E+000
0.000000000000000E+000	0.0000000E+000	9.000000427477062E+000	2.8865414E+000
0.000000000000000E+000	0.0000000E+000	9.998000474879518E+000	2.8865020E+000
7.560146351655324E-008	1.3608263E-001	1.011200048029423E+001	2.8923714E+000
3.099726918670866E-006	1.3609447E-001	1.019200048409402E+001	2.8973742E+000
8.830550544791752E-005	1.3608658E-001	1.244600059115328E+001	2.9023769E+000
4.174877969258362E-004	1.3608462E-001	2.115400100476108E+001	2.9073796E+000
8.886565924766991E-004	1.3609447E-001	3.361800159676932E+001	2.9124219E+000
1.448132932831844E-003	1.3609447E-001	4.841800229973160E+001	2.9174640E+000
2.076562878737847E-003	1.3609250E-001	6.504200308932923E+001	2.9225061E+000
2.757689011370142E-003	1.3609840E-001	8.306000394513831E+001	2.9275088E+000
3.490756711281008E-003	1.3608658E-001	1.024520048662089E+002	2.9325116E+000
4.272212378945615E-003	1.3609053E-001	1.231240058480762E+002	2.9375145E+000
5.116571655836370E-003	1.3610235E-001	1.454600069089793E+002	2.9425173E+000
6.019751935369438E-003	1.3609053E-001	1.693520080437884E+002	2.9475200E+000
6.963307780639993E-003	1.3609447E-001	1.943120092293248E+002	2.9525228E+000
7.965155062559579E-003	1.3610038E-001	2.208140104881022E+002	2.9575255E+000
9.006695092684694E-003	1.3609447E-001	2.483660117967520E+002	2.9625282E+000
1.008800278250542E-002	1.3609447E-001	2.769700131553691E+002	2.9675310E+000
1.120681146940423E-002	1.3610432E-001	3.065660145611037E+002	2.9725337E+000
1.235858437102702E-002	1.3608658E-001	3.370340160082560E+002	2.9775364E+000
1.357099401407772E-002	1.3608658E-001	3.691060175315943E+002	2.9825392E+000
1.481508241056568E-002	1.3608855E-001	4.020160190947354E+002	2.9875422E+000
1.610340031049318E-002	1.3608462E-001	4.360960207134485E+002	2.9925449E+000
1.742543752424419E-002	1.3608067E-001	4.710680223745294E+002	2.9975476E+000
1.878520226921472E-002	1.3609053E-001	5.070380240830127E+002	3.0025504E+000
2.021172856429385E-002	1.3608067E-001	5.447740258753765E+002	3.0075531E+000
2.165193990967340E-002	1.3609447E-001	5.828720276849344E+002	3.0125952E+000
2.314976105704076E-002	1.3609643E-001	6.224940295668785E+002	3.0175979E+000
2.467403993682729E-002	1.3608658E-001	6.628160314820707E+002	3.0226007E+000
2.623120532725420E-002	1.3609840E-001	7.040080334385857E+002	3.0276036E+000
2.784265751365158E-002	1.3608462E-001	7.466360354633071E+002	3.0326064E+000
2.949985434912973E-002	1.3608462E-001	7.904740375455003E+002	3.0376091E+000
3.118676592670381E-002	1.3609250E-001	8.350980396650266E+002	3.0426118E+000
3.293930045277708E-002	1.3609053E-001	8.814580418670084E+002	3.0476146E+000
3.473583971266945E-002	1.3609447E-001	9.289820441242773E+002	3.0526173E+000
3.658220036652353E-002	1.3609250E-001	9.778240464441478E+002	3.0576200E+000
3.845721272723542E-002	1.3608462E-001	1.027424048800021E+003	3.0626621E+000
4.046808622161548E-002	1.3608855E-001	1.080618051326601E+003	3.0676651E+000
4.258080329948830E-002	1.3608462E-001	1.136506053981138E+003	3.0726678E+000
4.479226406888830E-002	1.3609447E-001	1.195006056759739E+003	3.0776706E+000
4.705483562469483E-002	1.3608263E-001	1.254858059602557E+003	3.0826733E+000
4.932300216741032E-002	1.3609053E-001	1.314858062452404E+003	3.0874398E+000
5.159117151737213E-002	1.3608855E-001	1.374858065302251E+003	3.0921667E+000
5.385934028185904E-002	1.3609250E-001	1.434858068152098E+003	3.0969331E+000
5.612750814065337E-002	1.3608462E-001	1.494858071001945E+003	3.1014631E+000
5.839568255683614E-002	1.3609447E-001	1.554858073851792E+003	3.1059539E+000
6.066385735996895E-002	1.3608263E-001	1.614858076701639E+003	3.1104052E+000
6.293202730281486E-002	1.3609250E-001	1.674858079551486E+003	3.1145806E+000
6.520019968150391E-002	1.3608658E-001	1.734858082401333E+003	3.1187167E+000
6.746837292506463E-002	1.3608658E-001	1.794858085251180E+003	3.1228924E+000
6.973654409686725E-002	1.3609053E-001	1.854858088101028E+003	3.1269102E+000
7.200471629617115E-002	1.3609250E-001	1.914858090950875E+003	3.1308100E+000
7.427289260653158E-002	1.3609053E-001	1.974858093800722E+003	3.1346312E+000
7.654107097929551E-002	1.3609250E-001	2.034858096650569E+003	3.1383734E+000
